"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"1863","02/07/2024","BB","Boothby","C",321,1,"Poa_trivialis",5,"","A"
"1864","02/07/2024","BB","Boothby","C",321,1,"Epilobium_hirsutum",5,"","A"
"1867","02/07/2024","BB","Boothby","C",321,1,"Epilobium_parviflorum",1,"","A"
"1868","02/07/2024","BB","Boothby","C",321,2,"Epilobium_parviflorum",6,"","A"
"1869","02/07/2024","BB","Boothby","C",321,2,"Epilobium_ciliatum",1,"","A"
"1870","02/07/2024","BB","Boothby","C",321,2,"Epilobium_tetragonum",8,"","A"
"1871","02/07/2024","BB","Boothby","C",321,2,"Epilobium_hirsutum",2,"","A"
"1872","02/07/2024","BB","Boothby","C",321,2,"Triticum_aestivum",5,"","A"
"1873","02/07/2024","BB","Boothby","C",321,2,"Holcus_lanatus",20,"","A"
"1875","02/07/2024","BB","Boothby","C",321,2,"Cirsium_discolor",7,"","A"
"1876","02/07/2024","BB","Boothby","C",321,3,"Taraxacum_officinale",25,"","A"
"1877","02/07/2024","BB","Boothby","C",321,3,"Cirsium_discolor",5,"","A"
"1878","02/07/2024","BB","Boothby","C",321,3,"Epilobium_parviflorum",5,"","A"
"1879","02/07/2024","BB","Boothby","C",321,3,"Holcus_lanatus",15,"","A"
"1880","02/07/2024","BB","Boothby","C",321,3,"Triticum_aestivum",5,"","A"
"1881","02/07/2024","BB","Boothby","C",321,3,"Poa_trivialis",5,"","A"
"1882","02/07/2024","BB","Boothby","C",321,3,"Filago_pyramidata",5,"","A"
"1883","02/07/2024","BB","Boothby","C",321,3,"Bromus_hordeaceus",5,"","A"
"1884","02/07/2024","BB","Boothby","C",321,3,"Lolium_perenne",5,"","A"
"1887","02/07/2024","BB","Boothby","C",321,4,"Holcus_lanatus",35,"","A"
"1888","02/07/2024","BB","Boothby","C",321,4,"Cirsium_discolor",15,"","A"
"1889","02/07/2024","BB","Boothby","C",321,4,"Epilobium_tetragonum",10,"","A"
"1890","02/07/2024","BB","Boothby","C",321,4,"Epilobium_hirsutum",5,"","A"
"1891","02/07/2024","BB","Boothby","C",321,4,"Epilobium_ciliatum",3,"","A"
"1892","02/07/2024","BB","Boothby","C",321,4,"Epilobium_parviflorum",8,"","A"
"1894","02/07/2024","BB","Boothby","C",312,1,"Lolium_perenne",55,"","A"
"1895","02/07/2024","BB","Boothby","C",312,1,"Festuca_rubra",30,"","A"
"1896","02/07/2024","BB","Boothby","C",312,1,"Acer_campestre",5,"","A"
"1898","02/07/2024","BB","Boothby","C",312,2,"Lolium_perenne",30,"","A"
"1899","02/07/2024","BB","Boothby","C",312,2,"Festuca_rubra",20,"","A"
"1900","02/07/2024","BB","Boothby","C",312,2,"Taraxacum_officinale",5,"","A"
"1902","02/07/2024","BB","Boothby","C",312,3,"Cirsium_dissectum",4,"","A"
"1903","02/07/2024","BB","Boothby","C",312,3,"Epilobium_tetragonum",1,"","A"
"1904","02/07/2024","BB","Boothby","C",312,3,"Lolium_perenne",30,"","A"
"1905","02/07/2024","BB","Boothby","C",312,3,"Festuca_rubra",20,"","A"
"1907","02/07/2024","BB","Boothby","C",312,4,"Lolium_perenne",60,"","A"
"1908","02/07/2024","BB","Boothby","C",312,4,"Festuca_rubra",10,"","A"
"1910","02/07/2024","BB","Boothby","C",311,1,"Epilobium_parviflorum",3,"","A"
"1911","02/07/2024","BB","Boothby","C",311,1,"Bromus_hordeaceus",8,"","A"
"1912","02/07/2024","BB","Boothby","C",311,1,"Sonchus_asper",9,"","A"
"1913","02/07/2024","BB","Boothby","C",311,1,"Epilobium_ciliatum",3,"","A"
"1915","02/07/2024","BB","Boothby","C",311,2,"Bromus_hordeaceus",10,"","A"
"1916","02/07/2024","BB","Boothby","C",311,2,"Senecio_vulgaris",5,"","A"
"1919","02/07/2024","BB","Boothby","C",311,3,"Borago_pygmaea",3,"","A"
"1920","02/07/2024","BB","Boothby","C",311,3,"Bromus_hordeaceus",8,"","A"
"1921","02/07/2024","BB","Boothby","C",311,3,"Epilobium_ciliatum",4,"","A"
"1922","02/07/2024","BB","Boothby","C",311,3,"Epilobium_parviflorum",4,"","A"
"1923","02/07/2024","BB","Boothby","C",311,3,"Senecio_sylvaticus",3,"","A"
"1925","02/07/2024","BB","Boothby","C",311,4,"Bromus_hordeaceus",10,"","A"
"1926","02/07/2024","BB","Boothby","C",311,4,"Epilobium_parviflorum",5,"","A"
"1927","02/07/2024","BB","Boothby","C",311,4,"Sonchus_asper",5,"","A"
